loan_id,loan_amount,tenure_months,interest_rate,borrower_age,monthly_income,actual_default,model_flag,risk_score,actual_default_clean,model_flag_clean
LN-100002,72263.0,24,13.1,33,46888.77889,FALSE,0,0.384,0,0
LN-100744,135183.0,6,8.0,42,44433.27294,FALSE,0,0.338,0,0
LN-101513,89240.26652,24,14.18,21,32304.59261,FALSE,No,0.255,0,0
LN-102314,116925.0,6,17.73,41,41005.99106,No,FALSE,0.354,0,0
LN-100845,33190.25188,18,16.59,27,22707.35237,No,0,0.138,0,0
LN-100841,122596.6145,6,16.76,57,21803.29298,FALSE,FALSE,0.093,0,0
LN-100034,35435.0,18,13.41,28,47194.87044,0,N,0.515,0,0
LN-100060,35347.813,12,11.67,56,33619.39957,FALSE,No,0.131,0,0
LN-101368,55688.2803,6,17.94,55,17202.59268,N,FALSE,0.521,0,0
LN-100546,64229.88642,6,14.74,56,18247.4435,No,N,0.348,0,0
LN-100658,122098.5385,6,14.78,24,59151.16628,FALSE,FALSE,0.493,0,0
LN-101674,54523.21605,18,13.37,37,54754.75734,FALSE,N,0.383,0,0
LN-101961,70767.0,48,13.79,38,16634.63502,FALSE,N,0.555,0,0
LN-101126,159237.1776,48,18.02,46,22568.43939,TRUE,TRUE,0.767,1,1
LN-100121,142032.0,6,13.32,22,34315.68968,Yes,FALSE,0.611,1,0
LN-101604,114913.2695,12,13.89,45,37816.94948,FALSE,0,0.069,0,0
LN-102075,79454.35109,24,16.48,46,28166.1181,No,N,0.416,0,0
LN-101179,127375.3854,24,12.64,33,14726.60607,No,FALSE,0.365,0,0
LN-100596,97373.77865,6,14.94,48,21735.70638,0,N,0.301,0,0
LN-100899,103435.4757,18,12.95,50,22040.86074,TRUE,No,0.537,1,0
LN-100179,185850.1043,18,19.95,32,14604.83903,0,FALSE,0.419,0,0
LN-101971,48418.0,12,15.19,64,26806.84126,N,0,0.271,0,0
LN-102221,82548.81834,6,11.06,59,13561.43686,FALSE,0,0.213,0,0
LN-101535,95293.93247,12,18.77,21,44213.03678,FALSE,0,0.592,0,0
LN-101765,51925.0,18,13.28,40,25644.60817,FALSE,No,0.243,0,0
LN-101780,93154.0,36,13.21,49,24315.23716,FALSE,N,0.183,0,0
LN-100358,63447.19506,6,13.53,61,18472.41453,N,FALSE,0.505,0,0
LN-100356,117698.0,48,15.24,45,29202.20533,No,FALSE,0.304,0,0
LN-102165,136813.7721,24,15.36,56,13892.04825,Y,FALSE,0.52,1,0
LN-100637,101738.0642,6,15.73,51,26896.80381,0,FALSE,0.245,0,0
LN-102166,79003.92948,48,14.46,29,48565.17628,FALSE,N,0.249,0,0
LN-100196,81250.67605,36,11.36,34,50844.35215,0,0,0.276,0,0
LN-100374,86205.0,36,13.05,34,35786.19892,FALSE,No,0.162,0,0
LN-100217,127607.4996,6,13.65,35,21282.04006,FALSE,N,0.256,0,0
LN-101234,67906.15273,36,12.87,54,-1,0,N,0.409,0,0
LN-100456,95740.07345,6,15.58,62,33340.18128,Y,1,0.66,1,1
LN-101369,47575.14627,24,12.8,26,26184.67688,FALSE,FALSE,0.359,0,0
LN-102354,104131.1806,18,18.76,48,46387.58349,No,No,0.374,0,0
LN-101531,200243.6817,24,20.26,62,59861.38125,TRUE,No,0.53,1,0
LN-101106,79770.08361,12,14.28,22,19981.81945,FALSE,0,0.32,0,0
LN-102038,128774.8428,6,15.9,42,24266.91031,No,N,0.36,0,0
LN-102082,74142.63963,18,11.13,25,28224.11465,N,FALSE,0.269,0,0
LN-101974,65368.06508,18,14.9,40,-1,N,No,0.536,0,0
LN-100341,55681.51378,18,16.5,27,22786.35246,0,FALSE,0.295,0,0
LN-100110,109454.2215,12,14.59,55,23537.60974,No,FALSE,0.416,0,0
LN-101596,116304.7309,12,15.4,64,26443.0462,FALSE,FALSE,0.478,0,0
LN-101892,25515.24138,6,17.18,21,32070.00851,FALSE,No,0.103,0,0
LN-102135,64324.60768,24,16.87,62,31723.23204,FALSE,0,0.511,0,0
LN-100328,96829.49696,48,12.96,44,not disclosed,1,1,0.832,1,1
LN-101425,73800.79362,18,15.78,55,32066.89237,FALSE,0,0.2,0,0
LN-100474,71054.12058,18,14.59,26,31608.78267,Y,0,0.35,1,0
LN-102014,89979.72241,18,21.77,43,39380.83744,0,No,0.353,0,0
LN-101082,78784.0,18,16.73,27,34903.70636,N,0,0.435,0,0
LN-100407,47636.03045,6,15.1,26,26215.75832,1,N,0.459,1,0
LN-100707,145057.0225,6,19.08,27,44259.65945,0,0,0.325,0,0
LN-100151,109499.8477,18,11.11,28,42951.2654,FALSE,0,0.28,0,0
LN-102137,58061.47253,12,15.62,61,40399.27159,FALSE,FALSE,0.391,0,0
LN-102051,111291.2497,18,17.25,58,not disclosed,N,No,0.413,0,0
LN-101125,137138.4109,18,15.59,28,35808.70369,TRUE,FALSE,0.544,1,0
LN-101167,62335.35295,36,17.54,56,42768.77059,No,N,0.574,0,0
LN-100262,81548.00865,24,14.24,60,33621.75183,0,FALSE,0.153,0,0
LN-101721,80990.0,12,18.05,26,35559.44124,0,FALSE,0.336,0,0
LN-100362,193289.4055,12,8.55,35,59801.65408,0,FALSE,0.439,0,0
LN-101869,74586.0,24,14.4,61,37266.11124,N,No,0.33,0,0
LN-101301,44271.08351,6,16.39,47,32763.17947,1,N,0.371,1,0
LN-101675,104156.2044,6,10.71,-1,,FALSE,FALSE,0.339,0,0
LN-102050,195949.101,24,13.43,27,19758.90108,0,FALSE,0.185,0,0
LN-100539,57548.0,6,18.69,21,51593.72351,N,0,0.444,0,0
LN-101794,133929.9865,18,12.85,21,32425.38833,No,No,0.336,0,0
LN-101096,62762.0,24,17.27,59,35231.2696,FALSE,No,0.36,0,0
LN-102036,131501.0,48,14.14,55,27866.14331,FALSE,No,0.528,0,0
LN-101051,113488.9558,24,20.7,32,58202.81146,FALSE,No,0.388,0,0
LN-102015,72421.59748,48,17.1,47,71809.06937,0,FALSE,0.506,0,0
LN-101611,60239.11862,24,8.0,64,22008.42842,0,N,0.31,0,0
LN-100395,80949.80673,18,12.88,56,27394.30423,FALSE,N,0.218,0,0
LN-101648,159304.9932,18,12.31,38,42595.8745,FALSE,FALSE,0.243,0,0
LN-102220,120481.7219,6,15.3,36,38954.92908,FALSE,FALSE,0.438,0,0
LN-100427,158960.7239,24,11.95,-1,-1,FALSE,No,0.304,0,0
LN-102054,237262.9207,6,16.22,55,16527.78715,Y,TRUE,0.776,1,1
LN-100464,100775.9257,18,19.45,48,33667.47491,FALSE,0,0.537,0,0
LN-101967,151686.9775,12,16.11,46,40942.01484,N,0,0.361,0,0
LN-100339,76240.73447,6,16.52,not disclosed,50040.77294,N,FALSE,0.254,0,0
LN-102131,53471.04533,24,9.89,38,33814.67551,N,N,0.327,0,0
LN-102077,171866.0723,12,18.84,44,57328.81198,N,N,0.358,0,0
LN-101882,25603.39692,12,16.83,41,29470.91701,0,FALSE,0.233,0,0
LN-102065,61042.16727,48,15.41,23,27058.14718,N,FALSE,0.524,0,0
LN-100806,70008.83417,36,19.44,21,34901.34516,N,No,0.455,0,0
LN-100426,52050.43403,36,17.76,57,38653.58429,N,0,0.414,0,0
LN-100141,143893.0888,18,17.98,25,41766.32796,FALSE,FALSE,0.378,0,0
LN-100240,90252.68638,12,14.11,22,23247.62441,No,N,0.439,0,0
LN-100547,97116.85272,24,14.78,44,26675.37634,N,FALSE,0.379,0,0
LN-101918,63714.0,48,14.41,56,17177.4447,N,0,0.485,0,0
LN-102241,85202.0,18,13.53,24,not disclosed,FALSE,No,0.309,0,0
LN-100194,76096.75202,48,10.67,43,41757.04577,0,No,0.503,0,0
LN-101304,93860.6851,12,19.78,47,,N,FALSE,0.402,0,0
LN-101018,47710.97189,6,11.02,54,45341.95861,No,No,0.382,0,0
LN-101458,65923.34552,12,15.47,26,30485.4424,FALSE,FALSE,0.418,0,0
LN-100416,122658.609,12,14.26,51,50008.6217,No,No,0.212,0,0
LN-100765,111992.1166,18,13.49,37,43322.72878,N,N,0.136,0,0
LN-100278,104014.3982,12,11.99,38,53395.24946,FALSE,FALSE,0.488,0,0
LN-102153,105189.2881,6,14.85,not disclosed,,N,No,0.486,0,0
LN-100375,77736.05003,24,16.21,59,24713.57827,0,FALSE,0.226,0,0
LN-101571,102284.9689,36,13.92,53,27713.82959,FALSE,No,0.254,0,0
LN-101330,103701.5531,36,11.49,54,22306.61812,N,FALSE,0.275,0,0
LN-100465,143949.0392,36,14.99,26,16521.90902,0,N,0.436,0,0
LN-100513,54614.0,12,14.63,22,39292.33119,No,N,0.404,0,0
LN-100325,117362.0,24,14.73,49,26549.14795,0,No,0.557,0,0
LN-102104,162977.8365,36,14.88,49,30310.8686,FALSE,N,0.576,0,0
LN-100204,113703.0029,24,15.43,,62474.96504,0,FALSE,0.352,0,0
LN-101697,91115.59401,12,12.65,59,76925.93632,No,FALSE,0.312,0,0
LN-100383,165399.257,24,13.09,26,22592.86084,No,0,0.489,0,0
LN-100704,56541.0,36,18.85,44,15236.06515,Yes,TRUE,0.889,1,1
LN-101533,115439.0,48,16.24,64,34516.08662,No,No,0.377,0,0
LN-102078,90032.90705,48,12.55,24,70448.47076,0,FALSE,0.505,0,0
LN-102286,66564.83212,6,14.46,57,30211.85389,0,No,0.515,0,0
LN-100012,86491.52668,24,14.65,59,40782.74328,0,0,0.144,0,0
LN-100386,65546.37217,6,16.7,30,52248.52675,FALSE,No,0.311,0,0
LN-101747,58529.56146,36,16.56,27,53014.76211,FALSE,FALSE,0.417,0,0
LN-101809,93199.0,18,13.75,24,18294.34012,N,FALSE,0.574,0,0
LN-101495,50518.54646,6,13.3,26,24872.95233,FALSE,N,0.46,0,0
LN-101772,52113.20653,24,14.75,27,47350.27968,TRUE,1,0.695,1,1
LN-102352,59342.24191,12,15.44,62,22351.53004,No,FALSE,0.486,0,0
LN-100691,121071.8373,6,15.01,33,17054.00938,FALSE,0,0.254,0,0
LN-102113,35105.0,24,14.94,57,62921.79524,N,N,0.352,0,0
LN-100398,66294.3994,24,13.18,63,48458.3966,0,N,0.548,0,0
LN-100117,84959.31539,24,15.01,49,14783.4773,No,N,0.318,0,0
LN-101893,86171.91521,48,19.4,56,32408.90181,N,No,0.314,0,0
LN-100241,55307.0,12,12.7,45,18649.46958,No,FALSE,0.021,0,0
LN-101028,108483.7637,6,16.53,57,9425.770324,No,FALSE,0.366,0,0
LN-100186,213232.059,18,8.03,27,36018.94142,N,0,0.182,0,0
LN-100051,66939.51878,12,10.9,63,29193.58285,0,No,0.078,0,0
LN-100463,64466.6383,36,16.57,23,,0,0,0.584,0,0
LN-101598,241480.0,6,15.85,59,37980.92297,TRUE,0,0.587,1,0
LN-101419,80399.0,24,16.09,48,22118.39317,0,FALSE,0.442,0,0
LN-100651,133847.3241,18,18.5,47,28295.21281,TRUE,TRUE,0.884,1,1
LN-101493,113848.0,6,13.65,-1,27465.92229,0,0,0.317,0,0
LN-100562,121416.2476,36,18.34,43,20583.65402,N,0,0.499,0,0
LN-101836,78075.64051,36,15.02,55,44793.10375,1,1,0.695,1,1
LN-100000,88380.45471,36,15.25,30,81516.70856,No,No,0.429,0,0
LN-102114,33075.98687,24,20.16,59,31660.87074,0,N,0.457,0,0
LN-101271,108871.0,12,14.04,28,16521.70248,FALSE,N,0.158,0,0
LN-100889,92614.64548,12,14.51,39,51801.50285,FALSE,FALSE,0.387,0,0
LN-101393,55199.0,18,15.49,56,66585.84711,No,FALSE,0.25,0,0
LN-101768,137401.0367,18,18.84,37,13909.9737,TRUE,No,0.539,1,0
LN-100190,52497.64344,12,14.56,25,26919.41409,FALSE,No,0.309,0,0
LN-100270,73253.96689,12,8.0,54,25473.67188,0,N,0.374,0,0
LN-100639,155142.0,48,17.51,29,62059.49181,N,FALSE,0.479,0,0
LN-101136,85418.15402,12,18.23,59,32718.18503,FALSE,N,0.409,0,0
LN-100619,143743.0,24,9.99,49,12858.39271,No,FALSE,0.131,0,0
LN-100232,63392.27563,6,12.99,50,15825.27128,No,No,0.3,0,0
LN-102254,135902.0,12,17.57,30,24970.02187,N,FALSE,0.373,0,0
LN-100094,131039.4493,24,9.88,,64944.69369,FALSE,No,0.412,0,0
LN-100739,55163.16087,18,19.98,21,43952.91814,No,FALSE,0.528,0,0
LN-101912,129539.3411,12,9.64,53,72260.49035,FALSE,No,0.288,0,0
LN-102300,89511.0,18,13.63,60,39991.68831,No,FALSE,0.38,0,0
LN-102197,70136.46339,12,13.97,27,23798.82831,N,FALSE,0.384,0,0
LN-101656,73108.56656,48,10.11,50,45631.45213,No,FALSE,0.407,0,0
LN-101292,123387.0,48,16.99,45,35142.10274,FALSE,FALSE,0.362,0,0
LN-100099,126532.7924,6,15.97,21,17596.33228,FALSE,0,0.207,0,0
LN-102343,104644.0,24,15.1,,70054.07347,No,0,0.377,0,0
LN-100488,55432.84641,18,16.07,64,15832.38704,FALSE,0,0.046,0,0
LN-100864,84450.0,12,20.21,27,23284.70237,FALSE,FALSE,0.533,0,0
LN-102381,84414.08603,18,16.65,41,41092.98898,N,0,0.325,0,0
LN-101590,110912.8077,24,14.15,54,20590.81054,No,FALSE,0.38,0,0
LN-100669,111114.376,12,14.35,58,12877.88352,0,FALSE,0.436,0,0
LN-100043,116295.9733,12,10.7,39,40451.81549,N,FALSE,0.24,0,0
LN-100007,87218.7686,24,17.47,42,27528.69643,No,No,0.412,0,0
LN-101228,41060.92277,6,15.17,46,35230.78145,0,No,0.418,0,0
LN-101294,130421.0073,24,17.08,21,24694.24021,TRUE,FALSE,0.587,1,0
LN-101838,109285.9445,6,17.29,60,30951.24536,0,0,0.298,0,0
LN-100214,69657.0,12,14.64,26,20002.90612,FALSE,FALSE,0.428,0,0
LN-101744,69719.86847,24,8.0,55,28834.95637,No,0,0.293,0,0
LN-101075,86391.0,6,18.22,64,27851.72715,FALSE,1,0.648,0,1
LN-101507,46638.0,24,13.24,27,18397.95793,No,FALSE,0.255,0,0
LN-102247,62763.02114,18,20.2,36,45926.92827,No,FALSE,0.421,0,0
LN-100876,139498.4104,24,12.57,37,42490.90425,FALSE,FALSE,0.222,0,0
LN-102307,71992.32233,48,16.29,25,41504.04517,FALSE,No,0.447,0,0
LN-102239,219319.9294,12,15.12,31,74164.05728,FALSE,FALSE,0.405,0,0
LN-101609,101692.0,18,18.19,23,45764.66559,N,No,0.374,0,0
LN-100549,102529.8911,24,12.91,63,22022.32255,TRUE,TRUE,0.684,1,1
LN-101442,71986.55213,36,17.77,28,42720.43714,FALSE,FALSE,0.245,0,0
LN-102052,51910.0,6,12.84,63,36086.95843,0,N,0.363,0,0
LN-100423,123358.0883,48,16.59,58,49017.39077,No,FALSE,0.413,0,0
LN-100142,88121.0,36,14.05,54,22671.35299,0,N,0.481,0,0
LN-101401,126864.2253,24,13.23,38,50877.70398,FALSE,FALSE,0.314,0,0
LN-101950,124951.6172,48,10.27,60,18985.74947,N,FALSE,0.392,0,0
LN-101614,89145.0,24,8.0,25,44725.34291,N,No,0.57,0,0
LN-102162,137027.3362,12,14.83,39,11307.04455,FALSE,0,0.2,0,0
LN-100892,107214.3366,12,19.0,62,59784.83705,FALSE,N,0.619,0,0
LN-101543,133771.1602,18,14.48,35,20220.41506,FALSE,FALSE,0.604,0,0
LN-101448,64864.82837,18,21.06,28,12354.5379,N,FALSE,0.483,0,0
LN-102332,76575.12367,36,16.09,53,32821.76415,0,FALSE,0.342,0,0
LN-101957,95801.0,6,13.62,51,14859.55111,N,N,0.382,0,0
LN-100587,109363.4811,48,14.65,35,44729.49114,FALSE,0,0.357,0,0
LN-101688,79726.28602,24,15.31,28,17358.25876,FALSE,0,0.296,0,0
LN-101553,134155.1963,48,14.64,44,31551.88221,FALSE,0,0.463,0,0
LN-102116,87033.09753,24,9.86,57,36149.30176,No,FALSE,0.173,0,0
LN-100757,121716.0,12,11.53,44,30480.12753,No,N,0.299,0,0
LN-101022,93782.6272,6,13.74,31,35853.25433,No,No,0.338,0,0
LN-101226,65500.0,18,14.79,40,42741.24519,0,FALSE,0.362,0,0
LN-102310,143835.482,12,8.72,37,36551.71656,TRUE,FALSE,0.56,1,0
LN-102272,89697.44675,12,12.0,36,34113.1005,FALSE,FALSE,0.578,0,0
LN-101178,141927.0411,18,13.49,24,38014.27476,FALSE,No,0.349,0,0
LN-101208,78877.24587,36,16.64,24,25972.05879,FALSE,N,0.307,0,0
LN-101132,56643.67531,24,12.45,47,21851.99174,FALSE,No,0.324,0,0
LN-101661,88328.98035,36,13.21,22,39800.97488,0,No,0.317,0,0
LN-102360,55560.0,12,18.74,41,17337.42722,0,FALSE,0.153,0,0
LN-102374,48798.0,6,17.98,31,19767.74766,0,N,0.313,0,0
LN-100129,89813.80383,48,14.41,37,38349.74826,FALSE,0,0.402,0,0
LN-101990,69258.28166,18,17.38,,26959.44687,FALSE,FALSE,0.329,0,0
LN-102011,99997.0,18,11.01,64,41310.47388,FALSE,FALSE,0.432,0,0
LN-100237,38108.15699,12,11.04,34,27760.9124,FALSE,FALSE,0.435,0,0
LN-101640,117502.1196,36,10.99,30,41489.14806,FALSE,N,0.528,0,0
LN-100928,144314.7611,24,14.3,34,33719.43316,1,TRUE,0.809,1,1
LN-101034,75418.90657,36,10.33,63,53294.64935,TRUE,1,0.704,1,1
LN-101191,110102.728,12,12.69,58,21502.6777,N,FALSE,0.39,0,0
LN-101315,99757.02621,12,15.72,39,21925.73785,FALSE,FALSE,0.336,0,0
LN-101153,80303.36985,24,14.93,55,31170.28787,FALSE,No,0.397,0,0
LN-101565,77260.11192,24,16.41,32,49712.01326,FALSE,0,0.463,0,0
LN-100054,110100.67,24,9.66,59,25501.94967,0,FALSE,0.24,0,0
LN-101111,105504.862,12,16.02,64,28316.60731,FALSE,FALSE,0.252,0,0
LN-101038,56032.0,18,16.35,26,25427.51366,TRUE,TRUE,0.847,1,1
LN-101936,106600.869,18,23.28,,44760.52147,N,FALSE,0.317,0,0
LN-102040,144170.1158,24,15.13,26,33825.30865,No,N,0.468,0,0
LN-102299,75938.0,6,12.4,31,13714.71575,FALSE,FALSE,0.178,0,0
LN-100419,71584.8561,12,15.34,50,19827.2992,0,N,0.375,0,0
LN-101405,124845.1037,12,11.52,48,72682.34504,FALSE,FALSE,0.407,0,0
LN-102226,194314.0477,24,17.5,53,35853.89647,N,FALSE,0.362,0,0
LN-101760,63659.0,18,16.39,53,17622.77989,0,FALSE,0.287,0,0
LN-100046,113021.0,24,12.74,36,-1,FALSE,FALSE,0.491,0,0
LN-100441,58248.0,24,14.58,58,-1,FALSE,0,0.169,0,0
LN-101944,171547.3642,18,10.76,59,39790.04704,No,No,0.485,0,0
LN-100868,37978.28645,24,15.34,40,34588.91514,0,FALSE,0.318,0,0
LN-101490,30945.52284,18,18.33,63,31810.43083,1,N,0.565,1,0
LN-100856,136490.1846,18,15.86,64,27494.35319,FALSE,0,0.503,0,0
LN-101678,51240.17229,48,22.54,57,41942.48537,No,FALSE,0.54,0,0
LN-101575,111525.0,6,17.28,29,46639.992,0,N,0.256,0,0
LN-100318,102005.051,36,10.81,37,49939.37751,FALSE,FALSE,0.255,0,0
LN-101672,208575.5076,36,12.9,54,24106.18097,TRUE,TRUE,0.692,1,1
LN-101430,175636.0,36,14.0,29,35051.91849,FALSE,N,0.349,0,0
LN-101896,72492.92375,18,15.25,31,9293.594075,0,No,0.384,0,0
LN-101296,104355.2338,12,11.85,26,27515.37655,N,N,0.397,0,0
LN-100987,51060.0,12,15.47,28,43103.38781,FALSE,N,0.428,0,0
LN-101624,107460.5431,12,24.94,30,68586.0428,0,No,0.356,0,0
LN-100740,70349.9895,36,11.15,not disclosed,41499.80126,TRUE,FALSE,0.582,1,0
LN-101389,92880.03561,36,8.0,26,31281.12669,No,N,0.179,0,0
LN-101151,68475.40688,18,8.08,50,26577.55371,0,0,0.297,0,0
LN-100603,75097.0,18,16.63,56,20121.44624,FALSE,FALSE,0.375,0,0
LN-101353,62353.98756,48,15.02,54,20108.26346,N,FALSE,0.354,0,0
LN-101542,85445.6775,12,14.7,36,36166.61233,0,0,0.156,0,0
LN-100484,120313.0241,12,15.03,22,49608.13776,FALSE,No,0.477,0,0
LN-102149,66936.98856,6,15.4,29,33366.19671,No,FALSE,0.174,0,0
LN-102045,153846.2764,12,14.64,37,21493.84676,FALSE,No,0.379,0,0
LN-101546,108250.6999,6,13.14,33,18805.50468,FALSE,N,0.379,0,0
LN-101077,114261.7347,6,13.67,39,19188.17069,FALSE,No,0.332,0,0
LN-101537,66584.75291,36,16.44,38,25864.67442,0,FALSE,0.272,0,0
LN-100097,129581.872,6,15.51,42,66738.38269,No,No,0.535,0,0
LN-101599,78975.65976,48,16.45,59,41122.37804,0,N,0.309,0,0
LN-100643,69610.0239,24,11.22,50,49451.38748,Yes,N,0.509,1,0
LN-100028,65381.58061,6,11.81,21,33770.09704,FALSE,No,0.344,0,0
LN-101238,85799.69534,12,14.49,not disclosed,24977.93066,No,N,0.238,0,0
LN-101412,246326.6574,24,16.01,56,18080.80175,No,0,0.358,0,0
LN-100748,74211.18,12,8.0,21,10120.17191,No,FALSE,0.338,0,0
LN-101114,134406.7548,18,16.21,45,15955.0286,0,N,0.51,0,0
LN-101983,79391.30475,24,13.74,49,18948.05126,N,0,0.252,0,0
LN-101732,150566.9934,12,8.86,45,38368.0563,TRUE,FALSE,0.534,1,0
LN-101797,87647.8596,24,11.58,54,75233.49549,0,0,0.382,0,0
LN-101287,100096.1623,36,17.83,37,53901.40384,N,FALSE,0.273,0,0
LN-101799,92228.23167,12,15.5,49,49109.32195,No,0,0.386,0,0
LN-100376,72896.72923,18,19.03,46,24242.20846,No,FALSE,0.18,0,0
LN-100514,57188.17122,18,15.6,33,23412.73223,N,N,0.528,0,0
LN-102035,113441.8349,18,18.57,45,41040.86106,N,No,0.518,0,0
LN-101761,57197.86215,36,14.31,32,34795.80067,Y,0,0.527,1,0
LN-100620,116691.0,24,10.67,38,43461.29228,FALSE,FALSE,0.279,0,0
LN-100396,63021.0,12,16.01,27,22385.2845,0,No,0.445,0,0
LN-100727,159963.0,36,16.89,27,25285.17694,TRUE,1,0.649,1,1
LN-100259,63416.69438,18,15.35,60,9503.405685,N,No,0.446,0,0
LN-101177,45508.92639,24,14.96,59,19620.44153,0,N,0.368,0,0
LN-101707,88596.3061,24,18.37,58,23333.45338,0,0,0.279,0,0
LN-100369,69542.97303,24,11.86,21,20956.48297,TRUE,1,0.717,1,1
LN-100267,67167.03663,6,13.22,27,21729.4051,0,No,0.483,0,0
LN-101417,62033.03005,6,14.41,48,35701.4784,FALSE,N,0.49,0,0
LN-100414,237490.0,12,11.71,62,17727.00149,FALSE,FALSE,0.283,0,0
LN-101626,142225.0581,6,16.08,38,101654.6857,No,N,0.305,0,0
LN-100769,84038.2569,18,15.77,40,20758.90692,FALSE,No,0.357,0,0
LN-101240,62223.90224,24,15.84,27,55763.90795,1,0,0.573,1,0
